artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location
Bennett,William,,Baltimore,1976,limestone,21202,Shot Tower Park,Fallsway and Fayette Sts.,,Near Chez Fernands,,,,,"Fallsway and Fayette Sts.
21202
(39.297300000000064, -76.60749999999996)"
Kissack and MICA Community Arts Partnerships,Lyle,,,2004,mural,21223,325 N. Fulton Ave.,325 N. Fulton Ave.,,Side of building,People in the community,Visible from street,,,"325 N. Fulton Ave.
21223
(39.292289762845, -76.64532280291871)"
Kramer,Reuben,,Unknown,1968,bronze,21229,Rock Glen Jr. HS,5201 North Bend Rd.,PS  81,Interior,,,,,"5201 North Bend Rd.
21229
(39.284350000000074, -76.69003999999995)"
Popkin and Van Allen,Spoon and Dan,,,2003,mural,21213,North Ave and Harford Road,North Ave and Harford Rd.,,Restoration of Tom Miller Murals- Two murals on west and east side of Harford Rd. at North Ave.,"""Never Forget the Source"" and collage of city life",Visible from street,,,"North Ave and Harford Rd.
21213
(39.316199999999924, -76.57662999999991)"
Jacobson,Patrick,,,1995,mural,21205,2324 McElderry St.,2324 McElderry St.,,Side of American Legion N.E. Post #285 Bldg.,"Variety of scenes, including parrot",Visible,,,"2324 McElderry St.
21205
(39.29765925892087, -76.58422002314211)"
Finkelstein,William,,Unknown,1967,mosaic tile,21207,Fire House,1503/15 W. Lafayette Ave.,,Entrance wall,,,,,"1503/15 W. Lafayette Ave.
21207
(39.32364999999999, -76.72009000000003)"
Alexander,Pat,,Oasis,1987-89,ceramic tile,21217,Druid Hill Park Swimming Pool,Druid Hill Park,,Pool floor,Artist's Design incorporated in Ceramic tile,,,,"Druid Hill Park
21217
(39.316007473609055, -76.64384898808959)"
Streett,Tylden,,turtle,1968,stainless steel,21230,Lakeland ES,2921 Stranden Rd.,,exterior,,,,,"2921 Stranden Rd.
21230
(39.254161262019814, -76.64520850795124)"
du Fayette,Pierre,,"Unknown (""The Question Mark""",1970,aluminum,21216,Walbrook HS,2000 Edgewood St.,PS 411,Courtyard,,,,,"2000 Edgewood St.
21216
(39.31021379444991, -76.67596885657127)"
Lee,Herbert,,Uni I,1977,painted steel,21213,Oliver Multi-purpose Center,1601 N. Eden St.,,Beside entrance,,,,,"1601 N. Eden St.
21213
(39.316199999999924, -76.57662999999991)"
"Metzger, architects",G.,,Colonel George Armistead,,,21230,Federal Hill Park,Federal Hill Park,,,,,,,"Federal Hill Park
21230
(39.266940000000034, -76.62630000000001)"
Gavin,Chris,,Unknown,,painted steel,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,Auditorium,,,,,"5207 Roland Ave.
21210
(39.35696055353293, -76.63479789406995)"
McKinney,F.W.,,Serviceman's Memorial,1944,,21207,Ellicott Dr. and Bloomingdale Rd.,Ellicott Dr. and Bloomingdale Rd.,,,,,,Y,"Ellicott Dr. and Bloomingdale Rd.
21207
(39.32364999999999, -76.72009000000003)"
Waugh,Sdiney,,William H. Welch,1956,bronze,21218,Johns Hopkins University,N. Charles St.,,Shriver Hall,,,,Y,"N. Charles St.
21218
(39.33912699769189, -76.61835828737432)"
Reed,Robert,,Unknown,1970,"acrylic, wood",21223,Southwestern Sr. HS,200 Font Hill Ave.,,Lobby,,,,,"200 Font Hill Ave.
21223
(39.28353990306084, -76.66253298545354)"
Berge,Edward,,Sea Urchin,1926,bronze,21218,Johns Hopkins University,N. Charles and 33rd Sts.,,Near Faculty Club,,,,Y,"N. Charles and 33rd Sts.
21218
(39.32947000000013, -76.60331999999988)"
du Fayette,Pierre,,Mr. Sun and Mr. Moon,1968,concrete and rubber,21205,Claremont School,5301 Erdman Ave.,PS 307,Wall west of entrance,,,,,"5301 Erdman Ave.
21205
(39.3038286080419, -76.55482118600429)"
Canova,Antonio,,Lions,,,21218,Baltimore Museum of Art,10 Art Museum Dr.,,West garden,,,,,"10 Art Museum Dr.
21218
(39.325933943522045, -76.61823238229022)"
de Weldon,Felix,,Simon Bolivar Monument,1961,bronze,21218,Bedford Square,St. Paul and Charles Sts.,,Bedford Square,,,,Y,"St. Paul and Charles Sts.
21218
(39.32947000000013, -76.60331999999988)"
unknown,,,Columbus Obelisk,1792,,21213,Herring Run Park,Harford Rd. and Walter Blvd.,,,,,,Y,"Harford Rd. and Walter Blvd.
21213
(39.316199999999924, -76.57662999999991)"
Hofmann,Earl F.,,Unknown,1969,ceramic tiles,21218,Cold Stream Park ES,1400 Exeter Hall Ave.,PS  31,Over secondary entrances,,,,,"1400 Exeter Hall Ave.
21218
(39.32036714016073, -76.60166687051054)"
Schuler,Hans,,Untitled,1979,terra-cotta,21211,Hampden ES,801 W. 37th St.,PS  55,North wall,,,,,"801 W. 37th St.
21211
(39.332858723147694, -76.6299865212132)"
Sanborn,James,,Cold Spring Outcrop,1983,limestone,21215,West Cold Spring Station,W. Cold Spring Ln. at Wabash Ave.,,Metro stop,,,,,"W. Cold Spring Ln. at Wabash Ave.
21215
(39.33656392990838, -76.67402632098799)"
,Unknown,,Korean War Memorial,,,21224,Canton Waterfront Park,Boston St. and S. Potomac St.,,,,,,Y,"Boston St. and S. Potomac St.
21224
(39.27782920817481, -76.57384184692398)"
Joyner,Bill,,Unknown,1975,mural,21215,Mini Schools,4900 Park Heights Ave.,PS  14,Interior,,,,,"4900 Park Heights Ave.
21215
(39.34649244511189, -76.67256042608022)"
Edmister,Stan,,Of Course Culture Horse,1980,painted steel,21212,Govans Elementary School,5801 York Ave.,PS 213,Entrance plaza,,,,,"5801 York Ave.
21212
(39.36029856710907, -76.60986073358391)"
Bonet,Jordi,,Unknown,1974,aluminum relief,21229,West Baltimore MS,201 North Bend Rd.,PS  80,Exterior,,,,,"201 North Bend Rd.
21229
(39.2828564183186, -76.70573641574111)"
Paolozzi,Eduardo,,Box-headed Figure,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
Lewis,James,,Untitled,1974,bronze,21212,Walter P. Carter ES,820 E. 43rd St.,PS 134,Entrance plaza,,,,,"820 E. 43rd St.
21212
(39.34256240784384, -76.60378027727938)"
Drumm,Don,,Unknown,,aluminum,21213,Harford Heights ES,1901 N. Broadway,PS  36,Interior; auditorium,,,,,"1901 N. Broadway
21213
(39.31218396061025, -76.59495781180001)"
Leizman,William,,Untitled wall,1978,corten steel,21202,Penn Station,1515 N. Charles St.,,N. side of west entrance,,,,,"1515 N. Charles St.
21202
(39.297300000000064, -76.60749999999996)"
Mason,Pontella,,Unknown,1983/08,mural,21217,Booker T. Washington ES,1301-1305 McCullough St.,PS 130,Interior,,,,,"1301-1305 McCullough St.
21217
(39.31194000000011, -76.64039000000002)"
Merker,Jenny,,,1993,mural,21223,115 S. Carey St.,115 Carey St.,,Side of building,Various and funky shapes,Visible,,,"115 Carey St.
21223
(39.290372489645996, -76.63817146202119)"
Russum,Olin,,Unknown,1967,sculptural garden,21231,Patterson HS,100 Kane St.,,Exterior courtyard,,,,,"100 Kane St.
21231
(39.28823000000011, -76.59190000000001)"
Duffy (W. Kirwin Architect),William Francis,,Boy Releasing Bird,1989,cast iron,21207,Carrie Murray Outdoor Learning Center,4921 Windsor Mill Rd.,,Behind nature center,,,,,"4921 Windsor Mill Rd.
21207
(39.30959326224968, -76.70113188695109)"
Chodak Goldberg,Judith,,Ceramic monlith,1977,concrete with ceramic til,21211,Wyman Park Multi-purpose Center,501 W. 30th St.,,Exterior; entrance,,,,,"501 W. 30th St.
21211
(39.32216023626494, -76.62476851894486)"
Joyner,Bill,,Unknown,1980,acrylic windows,21207,Forest Park HS,4300 Chatham Rd.,PS 406,Interior,,,,,"4300 Chatham Rd.
21207
(39.33075965705877, -76.68973533631352)"
unknown,,,Edward J. Gallagher Memorial,1934,bronze,21218,Alameda Circle,E. 36th St. at The Alameda,,Alameda Circle,,,,,"E. 36th St. at The Alameda
21218
(39.3316806112893, -76.59535362986486)"
Anuro,Bigarani,,Christopher Columbus,1984,Marble,21202,Columbus Square,Eastern and E. Falls Ave.,,Columbus Square,Marble columbus on pedestal in park,Moderately visible,Outdoor accessible,,"Eastern and E. Falls Ave.
21202
(39.297300000000064, -76.60749999999996)"
Kaslow,Lisa,,The Rescue,1992,steel,21207,Fire station Co.12 West Wall,3960 Liberty Heights Ave.,,West wall of station,Fireman and woman; fireman entering building with fire truck below,Visible,,,"3960 Liberty Heights Ave.
21207
(39.32804145953534, -76.68457044687997)"
Waters-Eller,Susan,,,1989,mural,21215,5276 Park Heights Ave.,5276 Park Heights Ave.,,,,,,,"5276 Park Heights Ave.
21215
(39.3498828891623, -76.67880172096358)"
Carlberg,Norman,,Uno y Dos,,steel,21208,Milford Mill Station,Milford Mill Station,,,,,,,"Milford Mill Station
21208
(39.35978442470491, -76.74607100875522)"
Woodside,Robbie,,,1987,mural,21216,711 Poplar Grove,711 Poplar Grove,,,,,,,"711 Poplar Grove
21216
(39.310280000000034, -76.67214999999999)"
unknown,,,sun dial,1933,,21230,Carroll Park,Caroll Park,,Rear of Mt. Claire mansion,,,,,"Caroll Park
21230
(39.28203353866178, -76.6312635584948)"
Richardson,Michael,,Untitled,,,21229,Thomas Johnson Recreation Center,1610 Johnson St.,,,,,,,"1610 Johnson St.
21229
(39.284350000000074, -76.69003999999995)"
Winborne,Kylis,,Unknown,1975,mural,21205,Mini School,1000 N. Montford Ave.,PS  25,Interior,,,,,"1000 N. Montford Ave.
21205
(39.302410000000066, -76.56324999999987)"
Maxwell,Brooke R.,,Memorial Stadium Façade,,,21218,33rd St. between Ellerslie Ave. and Ednor Rd.,33rd St. btwn Ellerslie Ave. and Ednor Rd.,,,,,,,"33rd St. btwn Ellerslie Ave. and Ednor Rd.
21218
(39.32947000000013, -76.60331999999988)"
Monroe,John,,Repeal,,,21217,Druid Hill Park,Druid Hill Park,,Madison Avenue entrance,,,,,"Druid Hill Park
21217
(39.316007473609055, -76.64384898808959)"
DePalma and Daniel,Linda and Paul,https://data.baltimorecity.gov/views/5xsg-uc29/files/x48bOpqECAAmtJVEvGnnzyUNOM0txZSvsM5EJbzGkKY?filename=407_DePalma+L+and+Daniel+P_1991.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary,Double Ganut,1991,aluminum and bronze,21201,15 W. Franklin St. Garage,15 W. Franklin St.,,Above garage entrance,"Chair, ball, and ladder like structure",Very visible,,Y,"15 W. Franklin St.
21201
(39.295032461559764, -76.61572227669929)"
Benson,J. Arthur,,Unknown,1974,corten steel and aluminum,21217,Maryland Institute College of Art,1300 Mt. Royal Ave.,,Dolphin and Mt. Royal,,,,,"1300 Mt. Royal Ave.
21217
(39.30750188439189, -76.62114988191786)"
Noguchi,Isamu,,Untitled,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
Phillips,James,,Unknown,1979,mural,21217,Duke Ellington ES,850 W. North Ave.,PS 117,Interior,,,,,"850 W. North Ave.
21217
(39.31060050292251, -76.63117362629185)"
Powley,Jeff,,Unknown,1989,stained glass,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,Interior; front entrance façade,,,,,"5207 Roland Ave.
21210
(39.35696055353293, -76.63479789406995)"
Maynard,Valarie,,Unknown,1978,wood relief,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior; auditorium,,,,,"33rd St. and The Alameda
21218
(39.32849701130556, -76.59533564342422)"
Sanborn,James,,Patapsco River Project,1977,"concrete, steel, aluminum",21225/ Cherry Hill,Open space,Hanover and Reedbird Sts.,,Small park,,,,,"Hanover and Reedbird Sts.
21225/ Cherry Hill
(39.22678000000002, -76.61608999999999)"
Miller,J. Maxwell,,Confederate Women Monument,1918,bronze,21218,Johns Hopkins University,W. University Pkwy. and N. Charles Sts.,,,,,,Y,"W. University Pkwy. and N. Charles Sts.
21218
(39.33257094009832, -76.61805251788434)"
unknown,,,Rogers Bastion,1814,,21231,Patterson Park,Patterson Park,,Fort Hill,,,,Y,"Patterson Park
21231
(39.28823000000011, -76.59190000000001)"
Garmey,Stephanie,,,1988,mural,21205,Ashland Ave. and N. Washington St.,Ashland and Washington Sts.,,,,,,,"Ashland and Washington Sts.
21205
(39.302410000000066, -76.56324999999987)"
Majorowicz,Roger,,Unknown,,stainless steel and alumi,21213,Dr. Bernard Harris Senior ES,1400 N. Caroline St.,PS 250,Interior; auditorium,,,,,"1400 N. Caroline St.
21213
(39.30681435717918, -76.5981235417151)"
Minguzzi,Luciano,,The Contortionist,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
Perlman,Joel,,Unknown,1970,painted steel,21223,Southwestern Sr. HS,200 Font Hill Ave.,PS 412,Interior; plaza off cafeteria,,,,,"200 Font Hill Ave.
21223
(39.28353990306084, -76.66253298545354)"
Ford,John,,,1987,mural,21218,3500 Hillen Rd.,3500 Hillen Rd.,,,,,,,"3500 Hillen Rd.
21218
(39.33167161806898, -76.58903139599886)"
Russum,Olin,,Unknown,1969,ceramic tree,21215,Callaway ES,3701 Fernwood Ave.,PS 251,Stairwell,,,,,"3701 Fernwood Ave.
21215
(39.34556999999995, -76.68362000000002)"
Niehaus,Charles Henry,,Francis Scott Key:Orpheus,1922,bronze,21230,Fort McHenry,Fort McHenry,,Middle of entrance road,,,,Y,"Fort McHenry
21230
(39.266940000000034, -76.62630000000001)"
Howeler,Gerald,,Untitled,,limestone,21202,Shot Tower Park,Fallsway and Fayette Sts.,,Temporarily relocated,,,,,"Fallsway and Fayette Sts.
21202
(39.297300000000064, -76.60749999999996)"
"Burton, designer",Scott,,Pearlstone Park,1985,brick and concrete,21217,Preston St. and Cathedral St.,Preston St. and Cathedral St.,,,,,,Y,"Preston St. and Cathedral St.
21217
(39.31194000000011, -76.64039000000002)"
Heironimus,Robert,,A Little Help from Our Friends,1996,mural (non-city funded),21218,Greenmount Ave. and Venerable Ave.,Greenmount Ave. and Venerable Ave.,,Side of building facing Venerable Ave.,"Various images, including Memorial Staduim, Waverly Market, MLK, Leon Day, Ghandi, Harriet Tubman",Limited visibility,,,"Greenmount Ave. and Venerable Ave.
21218
(39.32947000000013, -76.60331999999988)"
Carlberg,Norman,,Unknown,1971,polyester resin,21214,Northern Parkway Jr. HS,2500 E. Northern Pkwy.,,"Entrance plaza, lobby",,,,,"2500 E. Northern Pkwy.
21214
(39.36644840094203, -76.56155710800374)"
Perlman,Bernard S.,,Unknown,1968,ceramic tile,21231,Patterson Park Ice Rink,Patterson Park Ice Rink,,Exterior,,,,,"Patterson Park Ice Rink
21231
(39.28823000000011, -76.59190000000001)"
Weinert,Albert,https://data.baltimorecity.gov/views/5xsg-uc29/files/t6ouhm1jE8RhvQu794MevFVoGm_47Eo2goXorfh_wEA?filename=328_Weinert+1908.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary,Cecilius Calvert Statue,1908,bronze,21202,Clarence J. Mitchell Jr. Courthouse,St. Paul & Lexington Streets,,,,,,Y,"St. Paul &amp; Lexington Streets
21202
(39.297300000000064, -76.60749999999996)"
Jakobsen,Tage E.,,Unknown,,etched glass,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,Entrance to gymnasium,,,,,"5207 Roland Ave.
21210
(39.35696055353293, -76.63479789406995)"
Henning,Herman,,Lady Baltimore,1880,limestone,21217,"Mt. Royal Dr., Reservoir Hill","Mt. Royal Dr., Reservoir Hill",,Narrow green strip allong Mt. Royal Terrace,,,,,"Mt. Royal Dr., Reservoir Hill
21217
(39.31194000000011, -76.64039000000002)"
Safell,Edward,,Unknown,1976,mural,21211,Medfield Heights Recreation Center,Woodheights and LaPlata Ave.,,Interior,,,,,"Woodheights and LaPlata Ave.
21211
(39.340997587512845, -76.6457696228274)"
du Fayette,Pierre,,Unknown,,concrete,21217,Furman L. Templeton Recreation Center,1200 N. Pennsylvania Ave.,,Corner of Pennsylvania and Lanvale Streets,,,,,"1200 N. Pennsylvania Ave.
21217
(39.299507365976886, -76.62976664033435)"
Streett,Tylden,,giraffe,1968,stainless steel,21230,Lakeland ES,2921 Stranden Rd.,,exterior,,,,,"2921 Stranden Rd.
21230
(39.254161262019814, -76.64520850795124)"
Lachaise,Gaston,,Standing Woman (Elevation),,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
Golde,R.P.,,Conradin Kreutzer Monument,1915,bronze,21231,Patterson Park,Patterson Park,,,,,,Y,"Patterson Park
21231
(39.28823000000011, -76.59190000000001)"
Betti,Richard,,James Cardinal Gibbons,1967,bronze,21201,Basilica of the Assumption,409 Cathedral St.,,Along Mulberry Street,,,,,"409 Cathedral St.
21201
(39.29463125062108, -76.61676683093808)"
unknown,,,Hopkins monument,,,21213,Clifton Park,,,,,,,Y,"21213
(39.316199999999924, -76.57662999999991)"
Moring,Greg,,Unknown,,aluminum,21207,Liberty ES,3901 Maine Ave.,PS  64,Interior; cafeteria,,,,,"3901 Maine Ave.
21207
(39.326392597757035, -76.68362208704065)"
Scott,Joyce C.,,Unknown,1978,fiber,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda
21218
(39.32849701130556, -76.59533564342422)"
unknown,,,Baltimore Police Department,,,21202,Shot Tower Park,Fallsway and Fayette Sts.,,,,,,,"Fallsway and Fayette Sts.
21202
(39.297300000000064, -76.60749999999996)"
Boudman,E. Clifton,,The What Knot - 'Linear Growth Structure',1968,painted steel,21216,Easterwood Park Recreation Center,1530 N. Bentalou St.,,Front lawn,,,,,"1530 N. Bentalou St.
21216
(39.30544144632868, -76.6539240445626)"
Safell,Edward,,Unknown,1969,mural,21225,Bay-Brook Recreation Center,6th St. and Farring Ct.,,Interior,,,,,"6th St. and Farring Ct.
21225
(39.22678000000002, -76.61608999999999)"
Middleton,Lawrence,,Unknown,1971,acrylic,21218,Kirk Multi-purpose Center,2000 Cecil Ave.,,Interior; community room,,,,,"2000 Cecil Ave.
21218
(39.313523299517726, -76.605273151848)"
Breitenbach,Richard,,Shelter,,,21210,Cross Keys Shopping Center,Cross Keys,,,,,,,"Cross Keys
21210
(39.34921289425051, -76.63108369408891)"
Rolph,Stafford,,The Forum Fountain,1975,concrete,21231,Paul Laurence Dunbar HS,1400 Orleans St.,,Behind the school,,,,,"1400 Orleans St.
21231
(39.295132164018526, -76.59860917561087)"
Batchelor,Linda,,Unknown,1978,fabric wall hanging,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda
21218
(39.32849701130556, -76.59533564342422)"
Gibbs,Nathaniel,,Bulletin Board,1984,oil/canvas,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,"Second floor, B wing hallway near media center",,,,,"2301 Gwynns Falls Pkwy.
21217
(39.31568167238805, -76.65537438210032)"
Woman's Mural Project and Ferguson,Mary Carfagno,,My Sister's Garden,1997,mural (non-city funded),21201,Cathedral and Centre Sts.,Cathedral and Centre Sts.,,Side of building with parking lot,Garden with lots of flowers,Very visible from street,,,"Cathedral and Centre Sts.
21201
(39.294880000000035, -76.62253999999996)"
Thorwaldsen,Bertel,https://data.baltimorecity.gov/views/5xsg-uc29/files/VM3uZOsU0cK3AzTmCBucTQx2meSd164uD_v5bStqRe0?filename=514_Thorwaldsen.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary,The Divine Healer,,,21287,Johns Hopkins Hospital,Johns Hopkins Hospital,,"Lobby, Administration Building",,,,,"Johns Hopkins Hospital
21287
(39.2912, -76.60457999999994)"
Lewis,James,,Frederick Douglass,,,21251,Morgan State University,1700 E. Cold Spring Ln.,,,,,,Y,"1700 E. Cold Spring Ln.
21251
(39.34587277637047, -76.58593772821806)"
Woman's Mural Project and Ferguson,Mary Carfagno,,,1996,mural (non-city funded),21223,1123 W. Mulberry St.,1123 W. Mulberry St.,,Side of building which was destroyed,Unknown; destroyed,N/A,,,"1123 W. Mulberry St.
21223
(39.293288553858474, -76.63624580253708)"
James and Access Art Inc.,Shawn,,BELIEVE,2004,mural (non-city funded),21202,Liberty and Clay Sts.,Liberty and Clay Sts.,,Side of building with parking lot,"BELIEVE street scene with believers, future believers, and reason to believe",Very visible from Liberty St.,,,"Liberty and Clay Sts.
21202
(39.297300000000064, -76.60749999999996)"
Wells,Betty,,Unknown,1972,mosaic tile,21202,Charles Carroll Elementary School,200 N. Central Ave.,,Wall facing Orleans St.,,,,,"200 N. Central Ave.
21202
(39.29393606571955, -76.59984124679102)"
Somaini,Francesco,,Human Will and Energy,1970,bronze,21797,Baltimore RESCO Plant,1801 Old Annapolis Rd.,,,,,,Y,"1801 Old Annapolis Rd.
21797
(39.320773984245065, -77.1075181026818)"
McKendric,Gigi,,Unknown,1997,sculpture,21215,Cross Country ES,6100 Cross Country Blvd.,PS 247,Interior; main entrance lobby,,,,,"6100 Cross Country Blvd.
21215
(39.36275218740161, -76.68772299549425)"
English,J. Craig,,Unknown,,"print, wood",21229,Edmondson-Westside Sr. HS,4501 Edmondson Ave.,,,,,,,"4501 Edmondson Ave.
21229
(39.29334251318022, -76.69151813445791)"
Mikami,Hiroshi,,Untitled,1977,Tennenese limestine,21202,Park at Lombard and Commerce Sts.,Lombard and Commerce Sts.,,Northeast corner of intersection,,,,,"Lombard and Commerce Sts.
21202
(39.297300000000064, -76.60749999999996)"
Stewart and Urban Experience,Benari,,,2004,mural,21223,200 N. Bentalou St.,200 N. Bentalou St.,,Side of building,"Young boy in foreground; three children examing globe and MLK in background; ""It is a dream deeply rooted in the american dream.""",Limited visibility,,,"200 N. Bentalou St.
21223
(39.29096830302291, -76.65301815838353)"
unknown,,,J. Joseph Curran Memorial Clock,,,21212,,Woodbourne Ave. and York Rd.,,,,,,,"Woodbourne Ave. and York Rd.
21212
(39.35552163828606, -76.60988667385834)"
Dogle,,,James L. Ridgely Monument,1885,bronze,21217,Harlem Park,1500 Edmondson Ave.,,Harlem Park,,,,Y,"1500 Edmondson Ave.
21217
(39.31194000000011, -76.64039000000002)"
McGuire,Patrick,,The Learning Tree,1981,painted steel,21217,John Eager Howard ES,2011 Linden Ave.,PS  61,Courtyard on Linden Avenue,,,,,"2011 Linden Ave.
21217
(39.31094897479645, -76.63268942516514)"
Ferrandi,George,,,1990,mural,21218,2310 Harford Rd.,2310 Harford Rd.,,Side of building at top facing gas station,Carnival-like mural with amusement park rides in background and different style buildings in the foreground,Visible,,,"2310 Harford Rd.
21218
(39.31602341475917, -76.59610006714917)"
Gargallo,Pablo,,The Prophet(St. John the Baptist),,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
Reed,Robert,,Unknown,1970,"acrylic, wood",21223,Southwestern Sr. HS,200 Font Hill Ave.,,Second floor hallway,,,,,"200 Font Hill Ave.
21223
(39.28353990306084, -76.66253298545354)"
Shore,Tony,,,2000,mural,21223,900 Ostend St.,900 Ostend St.,,CAN NOT LOCATE,CAN NOT LOCATE,N/A,,,"900 Ostend St.
21223
(39.28365000000008, -76.65196999999989)"
Evans,John,https://data.baltimorecity.gov/views/5xsg-uc29/files/Xh-xxlueXUleS395U-Flhy8id_nbdV9lcBTXk48ujlg?filename=532a_Evans+J_1906.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary,Mercury and Commerce,1906,granite,21201,B & O Central Building,2 N Charles St.,,Over main entrance,,,,,"2 N Charles St.
21201
(39.28984415048626, -76.61516569417029)"
Kramer,Reuben,https://data.baltimorecity.gov/views/5xsg-uc29/files/EkmGG66sKiNWiEybCjJh8uek6wd32tqk2RtLxC1BMM8?filename=318d_Kramer+R_1979.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary,Thurgood Marshall,1979,bronze,21201,Edward A. Garmatz U.S. Courthouse,Pratt St. and Hopkins Pl.,,Northeast corner of intersection,Bronze Statue of Thurgood Marshall on pedestal,Highly Visible,outdoor accessible,Y,"Pratt St. and Hopkins Pl.
21201
(39.28641773355463, -76.61753990432766)"
Mears,Mary Ann,https://data.baltimorecity.gov/views/5xsg-uc29/files/dcSyzvQ8mKA4hXvTjqr-aXgqCTAKOx1EC_IOaTMoDwI?filename=51a_Mears+M_1978.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary,Red Buoyant,1978,painted aluminum,21202,IBM Building,100 E. Pratt St.,,Entrance plaza,,Very visible,Outdoor accessible,,"100 E. Pratt St.
21202
(39.286561625079344, -76.61279148401297)"
Harlow,Malcolm,,H.L. Mencken Fountain,1976,,21223,Union Square,Union Square,,,,,,Y,"Union Square
21223
(39.28365000000008, -76.65196999999989)"
Zopf,Fernanda,,Unknown,1971,polyester resin,21212,Guilford ES,4520 York Rd.,PS 214,Courtyard,,,,,"4520 York Rd.
21212
(39.3440443106837, -76.60963380775476)"
Schuler,Hans,,Pulaski Monument,1942,bronze,21231,Patterson Park,Eastern Ave and Linwood Dr.,,Patterson Park,,,,Y,"Eastern Ave and Linwood Dr.
21231
(39.28823000000011, -76.59190000000001)"
Ferguson,John D.,,On Point,1976,cor ten,21210,Cross Keys Shopping Center,Cross Keys,,Courtyard,,,,,"Cross Keys
21210
(39.34921289425051, -76.63108369408891)"
Lawrence,Charles,,,2000,mural,21213,2124 Mura St.,2124 Mura St.,,Side of building with community park,"Baltimore locales: Washington Monument, Maryland Science Center",Visible,,,"2124 Mura St.
21213
(39.30508765888288, -76.58733167736347)"
unknown,,,various sculptures,,,21217,Area around Maryland Institute College of Art,1300 Mount Royal Ave.,,,,,,,"1300 Mount Royal Ave.
21217
(39.30750188439189, -76.62114988191786)"
Fraser,Laura Gardin,,Lee-Jackson Monument,1946,bronze,21218,Art Museum Dr. and Wyman Park Dr.,Art Museum Dr. and Wyman Park Dr.,,,,,,Y,"Art Museum Dr. and Wyman Park Dr.
21218
(39.324459055394016, -76.62004901278942)"
Benson,J. Arthur,,Nut and Bolt,1982/09,painted steel,21217,Mt. Royal Intermediate,121 McMechen St.,PS  66,Between two buildings,,,,,"121 McMechen St.
21217
(39.30926950631914, -76.62483340598527)"
Gibbs,Nathaniel,,The Arts,1984/02,oil/canvas,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,Lower level hallway,,,,,"2301 Gwynns Falls Pkwy.
21217
(39.31568167238805, -76.65537438210032)"
Howeler,Gerald,,Untitled,1977,black Tennensee marble,21202,Park at Lombard and Commerce Sts.,Lombard and Commerce Sts.,,Northeast corner of intersection,,,,,"Lombard and Commerce Sts.
21202
(39.297300000000064, -76.60749999999996)"
Carfagno Ferguson,Mary,,,1996,mural,21230,886 Washington Blvd.,886 Washington Blvd.,,Side of building,Aqueduct with trees and bushes,Very visible,,,"886 Washington Blvd.
21230
(39.282892391199766, -76.63094879578455)"
Berge,Edward,,World WarI Memorial,1921,bronze,21213,Bel Air Rd. and Shannon Dr.,Bel Air Rd. and Shannon Dr.,,,,,,Y,"Bel Air Rd. and Shannon Dr.
21213
(39.32572709945532, -76.56834698932494)"
Frank,Jane,,The Family,1977,aluminum plate,21223,Originally Samuel Morse ES,424 S. Pulaski St.,PS  98,Was vandalized and removed to be placed at another location,,,,,"424 S. Pulaski St.
21223
(39.28234596716267, -76.64979391746418)"
"Lee, Jr.",Herbert C.,,Local #420,1981,aluminum,21229,Edmondson-Westside Sr. HS,4501 Edmondson Ave.,,Over the eastern entrance,,,,,"4501 Edmondson Ave.
21229
(39.29334251318022, -76.69151813445791)"
