Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1923,Our Hospitality,American,"John G. Blystone, Buster Keaton",Buster Keaton,comedy,https://en.wikipedia.org/wiki/Our_Hospitality,"The Canfield and McKay families have been feuding for so long, no one remembers the reason the feud started in the first place. One stormy night in 1810, family patriarch John McKay (Edward Coxen) and his rival James Canfield (Tom London) kill each other. After the tragic death of her husband, John's wife decides her son Willie (the infant Buster Keaton Jr.) will not suffer the same fate. She moves to New York to live with her sister, who after the mother's death raises him without telling him of the feud.
Twenty years later, Willie (Buster Keaton Sr.) receives a letter informing him that his father's estate is now his. His aunt tells him of the feud, but he decides to return to his Southern birthplace anyway to claim his inheritance. On the train ride, he meets a girl, Virginia (played by Keaton's wife Natalie Talmadge). They are shy to each other at first, but become acquainted during many train mishaps. At their destination, she is greeted by her father (Joe Roberts) and two brothers (Ralph Bushman and Craig Ward); she, it turns out, is a Canfield. Willie innocently asks one of the brothers where the McKay estate is. The brother offers to show him the way, but stops at every shop in search of a pistol to shoot the unsuspecting Willie. By the time he obtains one, Willie has wandered off. Willie is very disappointed to discover the McKay ""estate"" is a rundown home, not the stately mansion he had imagined. Later, however, he encounters Virginia, who invites him to supper.
When he arrives, the brothers want to shoot him, but the father refuses to allow it while he is a guest in their mansion. The father refers to this as ""our hospitality"". When Willie overhears a conversation between the brothers, he finally realizes his grave predicament. A parson comes to supper as well. Afterward, the parson prepares to leave, but he finds it is raining furiously. The Canfield patriarch insists the parson stay the night. McKay invites himself to do the same.
The next morning, McKay stays inside the house, while the Canfield men wait for his departure. The father catches McKay kissing his daughter. McKay finally manages to leave safely by putting on a woman's dress. However, a chase ensues. He eventually starts down a steep cliff side, but is unable to find a way to the bottom. One Canfield lowers a rope (so he can get a better shot) to which Willie ties himself, but the Canfield falls into the water far below, dragging Willie along. Finally, Willie manages to steal the train locomotive and tender, but the tender derails, dumping him into the river towards the rapids. Virginia spots him and goes after him in a rowboat; she falls into the water and is swept over the edge of the large waterfall. McKay swings trapeze-like on a rope, catching her hands in mid-fall and depositing her safely on a ledge.
When it grows dark, the Canfield men decide to continue their murderous search the next day. Returning home, they see Willie and Virginia embracing; Joseph Canfield furiously rushes into the room, gun in hand. He is brought up short by the parson, who asks him if he wishes to kiss the bride. Seeing a hanging ""love thy neighbor"" sampler, the father decides to bless the union and end the feud. The Canfields place their pistols on a table; Willie then divests himself of the many guns he took from their gun cabinet."
1923,The Pilgrim,American,Charles Chaplin,"Charles Chaplin, Edna Purviance",comedy,https://en.wikipedia.org/wiki/The_Pilgrim_(1923_film),"The Pilgrim (Chaplin), an escaped convict, steals a minister's clothes to replace his prison uniform. At a train station, he encounters an eloping couple who want him to marry them. The woman's father shows up and takes her away.
The convict then picks a destination at random and ends up in Devil's Gulch, Texas, on a Sunday. A delegation is waiting to welcome their new parson. With the sheriff nearby, the Pilgrim has to keep playing his part. A large deacon takes him to the church, where he improvises a sermon about David and Goliath.
It has been arranged for the parson to board with Mrs. Brown and her attractive daughter. The latter and the Pilgrim are attracted to each other. A complication arises when the crook, the Pilgrim's old cellmate, spots him. Curious, the man pretends to be the Pilgrim's old college friend and is invited to tea by Mrs. Brown. Among the other guests are a man and wife and their young boy, who proceeds to annoy everyone. Also present is the large deacon, who refuses to accept Mrs. Brown's mortgage payment on the Sabbath. Despite the Pilgrim's best efforts, the crook later steals the money and flees. The Pilgrim promises Miss Brown he will get the money back. After he leaves, however, the sheriff shows the young woman a wanted poster for her boarder.
The crook heads to a casino. Despite a robbery in progress, the Pilgrim manages to retrieve the money. He gives it and the church collection to Miss Brown. When he is apprehended by the sheriff, Miss Brown comes to his defense, revealing what he has done. As a result, the sheriff takes his prisoner to the border and orders him to pick him some flowers on Mexican land. Not taking the hint, the Pilgrim returns. The sheriff has to literally kick him out of American jurisdiction before he recognizes the lawman's act of kindness. However, his enjoyment of the peace of a new land proves to be short-lived; several gunmen pop out of the undergrowth and start shooting at each other. The frightened Pilgrim hastens away, straddling the border as he ponders his options."
1923,Safety Last!,American,"Fred C. Newmeyer, Sam Taylor",Harold Lloyd,comedy,https://en.wikipedia.org/wiki/Safety_Last!,"The film opens in 1922 with Harold Lloyd (the character has the same name as the actor) behind bars. His mother and his girlfriend, Mildred, are consoling him as a somber official and priest show up. The three of them walk toward what looks like a noose. It then becomes obvious they are at a train station and the ""noose"" is actually a trackside pickup hoop used by train crews to receive orders without stopping, and the bars are merely the ticket barrier. He promises to send for his girlfriend so they can get married once he has ""made good"" in the big city. Then he is off.
He gets a job as a salesclerk at the De Vore Department Store, where he has to pull various stunts to get out of trouble with the picky and arrogantly self-important head floorwalker, Mr. Stubbs. He shares a rented room with his pal ""Limpy"" Bill, a construction worker.
When Harold finishes his shift, he sees an old friend from his hometown who is now a policeman walking the beat. After he leaves, Bill shows up. Bragging to Bill about his supposed influence with the police department, he persuades Bill to knock the policeman backwards over him while the man is using a callbox. When Bill does so, he knocks over the wrong policeman. To escape, he climbs up the façade of a building. The policeman tries to follow, but cannot get past the first floor; in frustration, he shouts at Bill, ""You'll do time for this! The first time I lay eyes on you again, I'll pinch you!""
Meanwhile, Harold has been hiding his lack of success by sending his girlfriend expensive presents he cannot really afford. She mistakenly thinks he is successful enough to support a family and, with his mother's encouragement, takes a train to join him. In his embarrassment, he has to pretend to be the general manager, even succeeding in impersonating him to get back at Stubbs. While going to retrieve her purse (which Mildred left in the manager's office), he overhears the real general manager say he would give $1,000 to anyone who could attract people to the store. He remembers Bill's talent and pitches the idea of having a man climb the ""12-story Bolton building"", which De Vore's occupies. He gets Bill to agree to do it by offering him $500. The stunt is highly publicized and a large crowd gathers the next day.
When a drunkard shows ""The Law"" (the policeman who was pushed over) a newspaper story about the event, the lawman suspects Bill is going to be the climber. He waits at the starting point despite Harold's frantic efforts to get him to leave. Finally, unable to wait any longer, Bill suggests Harold climb the first story himself and then switch his hat and coat with Bill, who will continue on from there. After Harold starts up, the policeman spots Bill and chases him into the building. Every time Harold tries to switch places with Bill, the policeman appears and chases Bill away. Each time, Bill tells his friend he will meet him on the next floor up. Eventually, Harold reaches the top, despite his troubles with a clock and some hungry pigeons, and kisses his girl."
1923,Scaramouche,American,Rex Ingram,"Ramón Novarro, Alice Terry, Lewis Stone",adventure,https://en.wikipedia.org/wiki/Scaramouche_(1923_film),"André-Louis Moreau (Ramon Novarro) loves Aline de Kercadiou (Alice Terry), the niece of his godfather, Quintin de Kercadiou (Lloyd Ingraham), and she him. However Quintin would prefer she married the Marquis de la Tour d'Azyr (Lewis Stone), a middle-aged nobleman, rather than someone who does not even know who his parents are.
One day, expert swordsman de la Tour first toys with, then kills André's friend Philippe de Vilmorin in a duel. André turns to the King's Lieutenant for justice. However, when the official learns who the accused is, he immediately orders André's arrest. André flees.
Meanwhile, France nears the brink of revolution. When one orator in favor of liberty and equality is shot down by a soldier, André fearlessly takes his place and remains undaunted when he is grazed by a bullet. When the dragoons are called out to disperse the mob, an admirer named Chapelier helps André escape.
He joins a wandering theatre troupe led by Challefau Binet (James A. Marcus). André writes better plays for them to perform, and they become very successful, eventually performing at a theatre in Paris. André becomes engaged to Binet's daughter, Climène (Edith Allen).
Aline and de la Tour attend a performance of his latest work, however, and she and André spot each other. She goes to see him, but he does not wish to renew their relationship. De la Tour, despite loving Aline, cannot help trifling with Climène. By chance, Aline and Countess de Plougastel (Julia Swayne Gordon), with whom she is staying, see him in a carriage with Climène. Aline informs de la Tour she never wants to see him again. De la Tour blackmails the countess into helping him, reminding her of an incident in her past.
Meanwhile, in the National Assembly, the aristocrats, unable to effectively respond to the reform-minded delegates with words, resort to duels to eliminate their leading opponents. Chief among the duelists is de la Tour. In desperation, Danton and Chapelier recruit André to reply in kind. The Chevalier de Chabrillone (William Humphrey) is his first victim. Eventually, he gets what he wants: a duel with de la Tour. He disarms his foe, then allows him to pick up his sword. After André wounds the nobleman in his sword arm, de la Tour gives up.
When news reaches Paris that the Austrians and Prussians have invaded France in support of the beleaguered King Louis XVI, the French Revolution erupts. In the fighting, de la Tour is overwhelmed and left for dead. When he revives, he staggers to the residence of the countess. André heads there too, to rescue his love and his mother the countess (whose identity has been revealed to him by de Kercadiou), armed with a passport signed by Danton authorizing him to do anything he wants. When the two bitter enemies spot each other, de la Tour demands the passport. André refuses, whereupon de la Tour draws a pistol. The countess throws herself in front of de la Tour, then reveals that he is in fact André's father. The two men have an initially uneasy reconciliation. When de la Tour starts to leave, André offers him his sword. Thus armed, de la Tour faces the rioters in the street and perishes.
André places the two women in a covered carriage. At the Paris gate, a man spots the aristocrats inside and demands they be handed over to the mob. Moreau pleads with them to let them go for his sake. The masses respond with extravagant sentimentality, and the trio are allowed to leave Paris."
1923,The Shock,American,Lambert Hillyer,"Lon Chaney, Virginia Valli",drama,https://en.wikipedia.org/wiki/The_Shock_(1923_film),"In 1906, Wilse Dilling (Lon Chaney), a crippled gangster living like a brute in the savage streets of Chinatown, receives a coded message to go to the home of his boss, Ann Cardington (Christine Mayo), known as Queen Anne, a powerful crime boss feared in the underworld. When Wilse meets with her, she sends him to the town of Fallbrook, where he is to await her instructions in dealing with a former lover of hers, a banker named Micha Hadley (William Welsh), who had betrayed her. Dilling is to pose as a telegraph operator in his effort to watch the banker.
Being practically dependent on crutches and wheelchair-bound has not stopped Dilling from committing a lengthy series of crimes, but to his surprise, he finds that the small town atmosphere makes him feel differently about everything. He finds a good friend in Hadley's daughter Gertrude (Virginia Valli), whom Dilling not only falls in love with her but she helps him believe that he can make a fresh start. Gertrude, however, is engaged to Jack Cooper (Jack Mower).
Dilling's new-found contentment is soon shattered by a series of new developments which includes trying to stop Queen Ann's plot against Hadley and Gertrude. Threatened with exposure as a thief, Hadley lashes out at Dilling when he confesses his part in the scheme. When an attempt to blow up the bank goes badly, Gertrude and Cooper are caught in the blast. With Gertrude severely injured, Cooper's father forces him to break off their engagement.
With the bank records destroyed, bank examiners are unable to find evidence against Hadley. After surgery, his daughter is expected to make a complete recovery but Queen Anne still seeks his revenge. Dilling tries to recover a document that his boss is holding, but with her henchmen, she captures Gerturde to Dilling's despair. Before anything can happen, everyone in the Manadarin Cafe, the gangsters' headquarters, as well as the entire city, is caught up in the San Francisco earthquake. Dilling survives and later in recuperation, is able to recover the use of his legs, beginning a new life with Gertrude."
1923,The Shriek of Araby,American,F. Richard Jones,Ben Turpin,comedy,https://en.wikipedia.org/wiki/The_Shriek_of_Araby,The film is a spoof of Rudolph Valentino’s hit 1921 film The Sheik and features Turpin as a bill poster daydreaming about having various adventures as an Arabian sheik.[3]
1923,The Silent Command,American,J. Gordon Edwards,"Edmund Lowe, Béla Lugosi",drama,https://en.wikipedia.org/wiki/The_Silent_Command,"Benadict Hisston is a foreign agent, part of a conspiracy to destroy the Panama Canal and the United States Navy's Atlantic Fleet. He attempts to acquire information about mine placement in the Canal Zone from Captain Richard Decatur, but fails. With that information essential to the conspiracy's success, he then hires vamp Peg Williams to obtain the intelligence through seduction.
Decatur is not fooled, and obeys the ""silent command"" of the Chief of Naval Intelligence to play along with the spies without revealing his purpose to friends or family. He is court-martialed, stripped of rank, and dismissed from the Navy after he strikes an admiral. His association with Williams estranges him from his wife, but earns him the trust of Hisston and the other spies. When the conspirators are ready to enact their plan, he travels to Panama with them. He thwarts their attempt at sabotage, saving the canal and the fleet. He is reinstated into the Navy, reunited with his wife, and honored by the nation for his heroism.[1][2]"
1923,Slippy McGee,American,Wesley Ruggles,"Colleen Moore, Wheeler Oakman, Sam De Grasse",drama,https://en.wikipedia.org/wiki/Slippy_McGee,"The title is also the moniker of a renowned safe-cracker, Slippy McGee, who has always managed to evade capture until his latest job, when he is wounded. He escapes aboard a freight train, bound for parts unknown, and finds himself in the town of Appleborro. There, he is discovered and cared for by Father De Rance and Mary Virginia. His leg is amputated, and during his recovery in Appleborro, the town's influence causes him to reform. He becomes interested in the local butterflies, De Rance's hobby, and becomes so knowledgeable in them that he becomes a published expert. Slippy has fallen in love with Mary Virginia, but she plans to marry Lawrence Mayne. However, George Inglesby determines that he wants Mary Virginia for himself, and decides to blackmail Mary Virginia into marrying him using incriminating letters he has in his possession. Wishing Mary to be happy, Slippy resorts to his old ways, breaking into the safe where the letters are kept and thus freeing Mary Virginia of the power George has over her."
1923,Souls for Sale,American,Rupert Hughes,"Richard Dix, Eleanor Boardman",drama,https://en.wikipedia.org/wiki/Souls_for_Sale,"Remember ""Mem"" Steddon (Eleanor Boardman) marries Owen Scudder (Lew Cody) after a whirlwind courtship. However, on their wedding night, she has a change of heart. When the train taking them to Los Angeles stops for water, she impulsively and secretly gets off in the middle of the desert. Strangely, when Scudder realizes she is gone, he does not have the train stopped.
Mem sets off in search of civilization. Severely dehydrated, she sees an unusual sight: an Arab on a camel. It turns out to be actor Tom Holby (Frank Mayo); she has stumbled upon a film being shot on location. When she recuperates, she is given a role as an extra. Both Holby and director Frank Claymore (Richard Dix) are attracted to her. However, when filming ends, she does not follow the troupe back to Hollywood, but rather gets a job at a desert inn.
Meanwhile, Scudder is recognized and arrested at the train station. He turns out to be a cold-blooded murderer who marries women, insures them, and then kills them for the payoff. He escapes and persuades a gullible Abigail Tweedy (Dale Fuller) to file off his handcuffs. She becomes his next victim, though fortunately for her, he only robs her of her savings. He leaves the country and targets Englishwoman Lady Jane (Aileen Pringle). To his profound embarrassment, she turns out to be the same sort of crook as he; she and her father ""Lord Fryingham"" (William Orlamond) rob him, but let him live.
When the inn closes for the season, Mem travels to Hollywood in search of work. Her actress friend from the desert shoot, Leva Lemaire (Barbara La Marr), persuades Claymore to give her a screen test for the only uncast role in his next production: a comic part. Though she fails miserably, Claymore decides to train her anyway. She proves to be talented and steadily gets better and better parts.
Just as Mem is rising to fame, Scudder returns and sneaks into her bedroom. Holby and Claymore have become rivals for Mem's affections. When Scudder sees their warmly autographed photographs, he flies into a jealous rage. Mem, aware of her husband's past and fearful of a career-ending scandal, offers him money to leave her alone, but he wants her. Scudder leaves only when she threatens to kill herself. Claymore shows up, but when Scudder overhears the director propose marriage to his protegée, Scudder tries to shoot him. Claymore wrestles away his gun, but lets him go at Mem's urging.
When star Robina Teele (Mae Busch) is seriously injured by a falling light, Claymore decides to have Mem take her place. Filming continues on an outdoor circus set, complete with a full-scale Big Top tent. In the climax, a lightning storm sets the huge tent on fire in the middle of filming. (Claymore orders his cameramen to keep shooting.) Scudder, who has snuck into the audience of extras, takes advantage of the panic and confusion to try to kill an unsuspecting Claymore by driving a wind machine (with a deadly propeller) at him. Holby spots Scudder and struggles with him. When Mem stumbles into the machine's path, Scudder rushes to save her and loses his own life. He apologizes before dying, explaining that all his life there was something wrong with him, but he did at least one thing right. Afterward, Mem chooses Claymore over Holby."
1923,The Ten Commandments,American,Cecil B. DeMille,Theodore Roberts,epic,https://en.wikipedia.org/wiki/The_Ten_Commandments_(1923_film),"Despite its epic scale, the Moses story takes up only about the first third of the film. After that, the story changes to a modern setting involving living by the lessons of the commandments. Two brothers make opposite decisions, one, John, to follow his mother's teaching of the Ten Commandments and become a poor carpenter, and the other, Danny, to break every one of them and rise to the top. The film shows his unchecked immorality to be momentarily gainful, but ultimately disastrous.
A thoughtful contrast is made between the carpenter brother and his mother. The mother reads the story of Moses and emphasizes strict obedience and fear of God. The carpenter, however, reads from the New Testament story of Jesus's healing of lepers. His emphasis is on a loving and forgiving God. The film also shows the mother's strict lawful morality to be flawed in comparison to her son's version.
Danny becomes a corrupt contractor who builds a church with shoddy concrete, pocketing the money saved and becoming very rich. One day, his mother comes to visit him at his work site, but the walls are becoming unstable due to the shaking of heavy trucks on nearby roads. One of the walls collapses on top of the mother, killing her. In her dying breath, she tells Danny that it is her fault for teaching him to fear God, when she should have taught him love.
This sends Danny on a downward spiral as he attempts to right his wrongs and clear his conscience, but he only gets into more trouble. To make money, he steals pearls from his mistress, and when she fights back, he kills her. He attempts to flee to Mexico on a motorboat, but rough weather sends him off course and he crashes into a rocky island, where he is presumably killed.
Throughout the film, the visual motif of the tablets of the commandments appears in the sets, with a particular commandment appearing on them when it is relevant to the story."
1923,Three Ages,American,Buster Keaton,Buster Keaton,comedy,https://en.wikipedia.org/wiki/Three_Ages,"Three plots in three different historical periods—prehistoric times, Ancient Rome, and modern times (the Roaring Twenties)—are intercut to prove the point that man's love for woman has not significantly changed throughout history. In all three plots, characters played by the small and slight Buster Keaton and handsome bruiser Wallace Beery compete for the attention of the same woman, played by Margaret Leahy. Each plot follows similar ""arcs"" in the story line in which Keaton's character works for his beloved's attention and eventually wins her over.
In the Stone Age story line, Keaton competes with the bigger, brutish Beery for a cavewoman Leahy. After observing another caveman drag away a woman by the hair in order to ""claim"" her, Keaton tries to become more assertive, but is continuously pushed back and bullied by Beery. An attempt to make Leahy jealous by flirting with another woman ends in failure. Nevertheless, Keaton grows closer to Leahy, and Beery challenges him to a fight at sunrise. Keaton wins thanks to hiding a rock in his club, but is caught and tied to the tail of an elephant to be dragged around the dirt as punishment. Upon his return, he finds Leahy about to be claimed by Beery and attempts to make off with her. Beery catches him and the two battle by tossing boulders at each other from afar, with Keaton and Leahy on a cliff together. When Beery climbs up to reclaim Leahy, Keaton dispatches Leahy's cronies and finally defeats him. He drags a smitten Leahy off by the hair. In the epilogue, they go off for a walk with their huge family of children following them.
In the Ancient Rome segment, Keaton attempts to attract the attention of the wealthy Leahy, but is continually pushed back by Beery. Beery challenges him to a chariot race after a hard snow — Keaton wins by using sled dogs instead of horses. In revenge, Beery forces him into the lion pit belonging to Leahy's family. Keaton survives by befriending the lion and cleaning its claws. Keaton is rescued by Leahy's parents while Beery kidnaps Leahy. Keaton rescues her and tries to seduce her in her palanquin, which takes off without them. In the epilogue, they also go out for a walk with many children in tow.
In the ""modern times"" story line, Keaton is a poor man yearning for Leahy, who has rich parents. Leahy's mother, unimpressed with Keaton's bank account but interested in Beery's, decides on Beery as a match for her daughter. Keaton accidentally gets drunk at a restaurant where Beery and Leahy are dining, and Beery tricks the male half of another couple into punching Keaton, who stumbles home drunk. Later, Keaton impresses Leahy by playing a football game, whereas Beery is only a coach; Beery decides to play opposite Keaton. Keaton is overwhelmed by the bigger Beery, but ends up winning the game with an impressive touchdown. An irritated Beery frames Keaton for possession of alcohol and gets him arrested, simultaneously showing him a wedding announcement between him and Leahy — Keaton will be unable to stop the wedding while in jail. While shadowed by a guard, Keaton finds a criminal file showing that Beery has been charged with bigamy and forgery. He attempts to call Leahy to warn her. He accidentally escapes when the phone booth he's using is taken out for replacement. Keaton evades the police chasing him and make it to the church on time, dragging Leahy away from the wedding and into a cab. After showing her Beery's criminal file, he takes Leahy home and prepares to leave, but she kisses him. He declares to the cab driver that they're going back to the church. In the epilogue, they also go out for a walk — this time with their dog instead of children."
1923,The White Sister,American,Henry King,"Lillian Gish, Ronald Colman",drama,https://en.wikipedia.org/wiki/The_White_Sister_(1923_film),"Angela Chiaromonte (Lillian Gish) and Captain Giovanni Severini (Ronald Colman) are deeply in love, but Angela's wealthy father, Prince Chiaromonte, does not know this and arranges her marriage, without her knowledge, to the son of Count del Ferice. However, the prince dies in an accident.
While Angela grieves, her older half-sister, the Marchesa di Mola, looks through their late father's papers and secretly burns one of them. No will can be found, so not only does the entire estate go to the Marchesa, but because the prince's second marriage was not registered with the civil authorities, it is not legally valid, making Angela ""nobody"". With that, Count del Ferice dissolves the marriage contract between Angela and his son.
The Marchesa orders Angela to leave the palace that very day, revealing that she has always hated her stepsister for ""whining"" her way into their father's affection and for taking Giovanni, the only man she ever loved. Madame Bernard, Angela's companion and chaperone, takes her in.
Giovanni finds her, but has some bad news. He has been appointed to command an expedition to Africa and must leave the next morning. However, he promises they will be married the day he returns.
His camp is attacked by Arabs, and Italian newspapers announce that all have been massacred. When Angela hears the news, she becomes catatonic. She is taken to the Santa Giovanna d'Aza hospital, which is run by nuns. After several days, the painter Durand, himself hopelessly in love with Angela, paints a portrait of Giovanni and brings it to the hospital, hoping it will help. Angela at first mistakes it for Giovanni, kissing it several times, but then comes to her senses. After a while, she informs Monsignor Seracinesca, an old family friend, that she intends to become a nun, a white sister, in honor of Giovanni.
However, Giovanni is still alive. For two years, he languishes as a captive until the death of his sole comrade gives him the chance to overpower their guard and escape. On the ship back to Italy, he is ordered not to speak to anyone until he has seen the Minister of War. That same day, Angela takes her final vows in a solemn ceremony, dedicating her life to the Catholic Church.
Giovanni's older brother, Professor Ugo Severi, breaks down after years of research trying to harness the power of Mount Vesuvius and is taken to the Santa Giovanna d'Aza hospital. Giovanni visits him, and by chance, meets Angela. After their initial shock, he embraces and tries to kiss her. She responds at first, but then remembers her circumstances and runs to her room. Monsignor Saracinesca restrains Giovanni from following, explaining that Angela is now married to the Church.
Giovanni refuses to accept that. He lures Angela by false pretenses to his brother's observatory. He tries to get her to sign a petition to the Pope requesting a release from her vows, but she refuses. When Giovanni sees that all his pleadings are useless, he allows her to leave.
The Marchesa tries to persuade Monsignor Saracinesca that Angela has gone willingly to be with her lover. He does not believe her, but sets out for the observatory anyway. Meanwhile, Giovanni notices that his brother's invention indicates that Vesuvius is about to erupt. He rides to warn the townsfolk, passing Saracinesca on the way.
The Marchesa's carriage is wrecked when her horses bolt, startled by lightning. Fatally injured, she crawls and stumbles to an empty church, her only thought to confess her sins before dying. By chance, Angela seeks shelter there. Not recognizing her, the Marchesa confesses she burned the will out of hatred and asks if her sister will forgive her. After a visible struggle with her emotions, Angela says she does, before her sister passes away.
Vesuvius erupts, spewing lava and breaking a water reservoir. However, Giovanni has been in time. Most of the townspeople are saved. Giovanni though drowns helping a mother and her children. Afterward, Angela asks God to keep him safe until they can be reunited."
1923,Why Worry?,American,"Fred Newmeyer, Sam Taylor",Harold Lloyd,comedy,https://en.wikipedia.org/wiki/Why_Worry%3F,"Harold Van Pelham (Lloyd) is a rich businessman who fancies himself deathly sick when in fact he is perfectly fine. He decides to sail to a small, nearly unknown island some distance West of South America named ""El Paradiso"" for his health.
Instead of the peace and seclusion he is seeking, he finds himself in the midst of a revolution, although for a long time he does not realize this (resulting in several hilarious scenes). Finally, he is thrown into prison where he meets a friendly giant, Colosso (Aasen). Together, they engineer an escape. After Harold helps Colosso pull out a bad tooth, Colosso is eternally grateful and vows to do Harold's will. Harold decides that the revolution is bad for his health and must be stopped. Harold, Colosso, and Harold's nurse (Ralston) manage to single-handedly quell the revolution. Finally, Harold realizes that he is not as sick as he thought he was."
1923,A Woman of Paris,American,Charles Chaplin,Edna Purviance,romance drama,https://en.wikipedia.org/wiki/A_Woman_of_Paris,"Marie St. Clair and her beau, aspiring artist Jean Millet, plan to leave their small French village for Paris, where they will marry. On the night before their scheduled departure, Marie leaves her house for a rendezvous with Jean. Marie's stepfather locks her out of the house, telling her to find shelter elsewhere.
Jean invites Marie to his parents' home, but his father also refuses to let her stay. Jean escorts Marie to the train station, and promises to return after going home to pack. When he arrives at home, he discovers his father has died. When Jean telephones Marie at the station to tell her they must postpone their trip, she gets on the train without him.
One year later in Paris, Marie enjoys a life of luxury as the mistress of wealthy businessman Pierre Revel. A friend calls and invites Marie to a raucous party in the Latin Quarter. She gives Marie the address but can't remember whether the apartment is in the building on the right or the left. Marie enters the wrong building and is surprised to be greeted by Jean Millet, who shares a modest apartment with his mother. Marie tells Jean she would like for him to paint her portrait and gives him a card with her address.
Jean calls on Marie at her apartment to begin the painting. Marie notices he is wearing a black armband and asks why he is in mourning. Jean tells Marie his father died the night she left without him.
Marie and Jean revive their romance, and Marie distances herself from Pierre Revel. Jean finishes Marie's portrait, but instead of painting her wearing the elegant outfit she chose for the sitting, he paints her in the simple dress she wore on the night she left for Paris.
Jean proposes to Marie. Jean's mother fights with him over the proposal. Marie arrives unexpectedly outside Jean's apartment just in time to overhear Jean pacify his mother, telling her that he proposed in a moment of weakness. Jean fails to convince Marie he didn't mean what she overheard, and she returns to Pierre Revel.
The following night, Jean slips a gun into his coat pocket and goes to the exclusive restaurant where Marie and Pierre are dining. Jean and Pierre get into a scuffle, and Jean is ejected from the dining room. Jean fatally shoots himself in the foyer of the restaurant.
The police carry Jean's body to his apartment. Jean's mother retrieves the gun and goes to Marie's apartment, but Marie has gone to Jean's studio. Jean's mother returns and finds Marie sobbing by Jean's body. The two women reconcile and return to the French countryside, where they open a home for orphans in a country cottage.
One morning, Marie and one of the girls in her care walk down the lane to get a pail of milk. Marie and the girl meet a group of sharecroppers who offer them a ride back in their horse-drawn wagon. At the same time, Pierre Revel and another gentleman are riding through the French countryside in a chauffeur-driven automobile. Pierre's companion asks him, ""What ever happened to that Marie St. Clair?"" Pierre replies that he doesn't know. The automobile and the horse-drawn wagon pass each other, heading in opposite directions."
1924,The Age of Innocence,American,Wesley Ruggles,"Beverly Bayne, Edith Roberts",drama,https://en.wikipedia.org/wiki/The_Age_of_Innocence_(1924_film),"Newland Archer is engaged to May Mingott of a prominent New York family. Shortly after the engagement is announce, Newland finds himself attracted to May’s older married cousin Countess Ellen Olenska. After his marriage to May, Newland and Ellen agree to run away together. Before this can happen, May visits her husband’s lover and informs her that she is expecting a child. Ellen and Newland part ways, Newland vowing to be a better husband to his wife May."
1924,America,American,D. W. Griffith,"Carol Dempster, Neil Hamilton",historical,https://en.wikipedia.org/wiki/America_(1924_film),"The story shifts between the British in Northern New York, and the colonial patriots in Massachusetts and Virginia. Much later in the film in New York, a little remembered sub-plot takes place.[4] British general Captain Walter Butler (Lionel Barrymore), a loyal and ruthless supporter to the king, leads the Iroquois Native Americans in viciously barraging attacks against the settlers, including the massacre of women and children, who are siding with the Revolution.
In Lexington, Massachusetts, Nathan Holden (Neil Hamilton) works as an express rider and minute man for the Boston Committee of Public Safety. At a mission to deliver a dispatch to the Virginia legislature, he meets Nancy Montague (Carol Dempster) and falls in love with her, but her father Justice Montague (Erville Alderson), a Tory judge, is not impressed with the rider.[6] Captain Butler tries unsuccessfully to court Nancy. Nathan and Nancy declare that regardless of which side he fights for, they will always love each other. While visiting in Massachusetts, Justice Montague is accidentally shot by Nathan Holden. Nancy Montague’s brother, Charles Montague (Charles Emmett Mack), is influenced by George Washington’s heroism and decides that he wants to support the colonists. However, he dies shortly after being wounded at the Battle of Bunker Hill. Nancy hides the truth from her father when she tells him that her brother died fighting for the crown.
Nancy and her father travel to Mohawk Valley New York to the home of her Uncle Ashleigh Montague while Holden visits George Washington (Arthur Dewey) at Valley Forge. He gets sent to New York with Morgan’s raiders to settle down the Native American attacks up north. Butler occupies the Montague estate. His men kill Montague's brother and he arrests Montague and takes Nancy prisoner. Holden arrives to spy on Butler and overhears his plans for a massacre attack. He leaves to sound the alarm, reluctantly leaving Nancy behind with Butler. Butler plans to force himself on Nancy, but the Native Americans decide to attack immediately and Butler is compelled to join them. Nancy escapes when Butler leaves for the battle, and she and Montague reach the fort safely before the attack. The attackers mount ruthless attack on the fort, ultimately breaching the walls and killing many settlers.[4] The Morgan’s raiders arrive and liberate the fort, saving the lives of Montague and Nancy. A separate group of militia and Native Americans chase down and kill Butler, putting a stop to his plan.[6] Montague believes in Holden’s worth, and allows him and Nancy to be together. The film concludes with the surrender of General Cornwallis and the presidential inauguration of George Washington."
1924,The Arab,American,Rex Ingram,"Ramon Novarro, Alice Terry",romance,https://en.wikipedia.org/wiki/The_Arab_(1924_film),"Jamil (Ramon Novarro) is a soldier in the Bedouin defense forces during a war between Syria and Turkey, who has deserted his regiment. In a remote village, he encounters an orphan asylum run by American missionaries Dr. Hilbert (Jerrold Robertshaw) and his daughter Mary (Alice Terry). The village is attacked by the Turks, and its ruler, eager to placate the invaders, intends to hand over the children for slaughter; he disguises his intentions under a move to Damascus for their safety.
The Bedouins arrive at the scene and reveal that Jamil is the son of the tribal leader. With his father's death revealed, Jamil becomes the new leader of the tribe, which endows him with a sense of responsibility. Risking his own life, he proceeds to save the children, defeating the Turks and the local leader in the process (and winning the girl)."
